?,판매일자,매장구분,매장코드,매장명,영수증번호,기획구분,판매유형,상품코드,상품명,칼라,칼라명,사이즈,판매구분
172,2024-02-22,직영점,A0070,부산만덕점(직),6,정상,일반판매,ALB7KT003,J-TCADHN-베어단후드니트,BK,블랙,F,판매
173,2024-02-23,직영점,A0070,부산만덕점(직),1,정상,일반판매,AGC3VT001,C-소프트VT,PK,핑크,F,판매
174,2024-02-26,직영점,A0070,부산만덕점(직),1,정상,일반판매,AKK7VT021,J-폴라집업조끼,GR,회색,F,판매
175,2024-02-26,직영점,A0070,부산만덕점(직),1,정상,일반판매,AJL3PT001,C-기모코튼부츠컷,BK,블랙,L,판매
176,2024-02-26,직영점,A0070,부산만덕점(직),2,정상,일반판매,AKK3PT002,C-더치골덴통바지(기모),BE,베이지,M,판매
177,2024-02-26,직영점,A0070,부산만덕점(직),3,정상,일반판매,AJL3PT001,C-기모코튼부츠컷,BK,블랙,L,판매
178,2024-02-26,직영점,A0070,부산만덕점(직),3,정상,일반판매,AKI3PT004,C-밴딩코튼통바지,BK,블랙,S,판매
179,2024-02-26,직영점,A0070,부산만덕점(직),3,정상,일반판매,AJL7KT016,하플KT,PK,핑크,F,판매
180,2024-02-27,직영점,A0070,부산만덕점(직),1,기획,일반판매,AKK7VT006,J-컬러패딩조끼,YE,옐로우,F,판매
181,2024-02-27,직영점,A0070,부산만덕점(직),2,기획,일반판매,AKK7VT027,P-보넷니트조끼,IV,아이보리,F,판매
182,2024-02-27,직영점,A0070,부산만덕점(직),2,정상,일반판매,AIC3OP018,S-미니버스원피스,SO,소라,F,판매
183,2024-02-27,직영점,A0070,부산만덕점(직),2,정상,일반판매,AKL7KT015,J-눈꽃소녀니트,NA,네이비,F,판매
184,2024-02-27,직영점,A0070,부산만덕점(직),3,정상,일반판매,AHB3KT002,M-V넥단추,OR,오렌지,F,판매
185,2024-02-27,직영점,A0070,부산만덕점(직),3,정상,일반판매,AKC7OP001,앵글플리츠원피스,BK,블랙,F,판매
186,2024-02-28,직영점,A0070,부산만덕점(직),1,기획,일반판매,AKK7VT027,P-보넷니트조끼,IV,아이보리,F,판매
187,2024-02-28,직영점,A0070,부산만덕점(직),1,정상,일반판매,AKB3OP004,S-옆리본프린팅셔츠OPS,BK,블랙,F,판매
188,2024-02-29,직영점,A0070,부산만덕점(직),1,정상,일반판매,ALB3PT006,C-SFCXC9-포켓조거,BK,블랙,L,판매
189,2024-02-29,직영점,A0070,부산만덕점(직),2,정상,일반판매,AIJ3JP017,S-오브제이중카라,BR,브라운,F,판매
190,2024-03-01,직영점,A0070,부산만덕점(직),1,정상,일반판매,AJI3PT001,C-샤이코튼일자,BK,블랙,L,판매
191,2024-03-01,직영점,A0070,부산만덕점(직),2,정상,일반판매,AHI3PT013,Q-F언발슬림PT,BE,베이지,S,판매
192,2024-03-01,직영점,A0070,부산만덕점(직),2,정상,일반판매,AKI3PT016,C-시크릿밴드배기,BE,베이지,M,판매
193,2024-03-01,직영점,A0070,부산만덕점(직),2,정상,일반판매,AJI3PT001,C-샤이코튼일자,BK,블랙,M,판매
194,2024-03-01,직영점,A0070,부산만덕점(직),2,정상,일반판매,AJI3PT001,C-샤이코튼일자,BK,블랙,L,판매
195,2024-03-01,직영점,A0070,부산만덕점(직),3,정상,일반판매,AJI3PT003,C-무브포켓배기,PK,핑크,S,판매
196,2024-03-02,직영점,A0070,부산만덕점(직),1,정상,일반판매,AJC3DP002,C-러쉬부츠컷,LL,연청,L,판매
197,2024-03-02,직영점,A0070,부산만덕점(직),1,정상,일반판매,AKI7JK010,J-숏니트자켓,BE,베이지,F,판매
